PLACE,PIN,LAT,LON
Raibania,756033,21.910609,87.197118
Rairamchandrapur,756048,21.424613,86.684848
Rairamchandrapur,756086,21.424613,86.684848
RajBerhampur,756058,21.53429,86.653552
RajNilgiri,756040,21.46214,86.770035
Rajpur,756086,21.788704,87.20957
Ramakrishnapur,756166,21.895048,87.02771
Ranasahi,756002,21.45307,86.95702
Rasalpur,756021,21.568797,87.194718
Rasalpur,756038,21.568797,87.194718
Rasalpur,756079,21.568797,87.194718
Rasaslpur,756020,21.39288,86.887259
Rella,756026,21.698707,87.260589
Remu,756081,21.51866,86.86833
Remuna,756019,21.526555,86.869707
ReservePoliceLine,756003,21.520134,86.898115
Routpada,756028,21.654585,87.031378
Rudhunga,756126,21.186002,86.656071
Rupkhand,756051,21.25167,86.84469
Rupsa,756028,21.620103,87.018694
Sabira.,756045,21.237438,86.632745
Sadanandapur,756029,21.69575,87.06927
Sahada,756002,21.540404,87.031947
Sahada,756080,21.540404,87.031947
Sahadevkhunta,756001,21.504797,86.916145
Sahaspura,756046,21.27175,86.79333
SahidPark,756003,21.493031,86.938095
Sahigaon,756126,21.209345,86.571455
Sahupada,756003,21.56399,86.92709
Sajanagarh,756041,21.2952,86.4416
Sajanpur,756045,21.21864,86.66569
Salikotha,756086,21.771249,87.234464
Sampei,756047,21.279314,86.568167
Sankhapodadiha,756046,21.520134,86.898115
Sankhari,756037,21.61731,87.433764
Santhapada,756055,21.231596,86.703906
Santragadia,756042,21.381405,86.718472
Sardhapur,756037,21.610922,87.419758
Sargaon,756002,21.507601,86.920495
Sargaon,756027,21.507601,86.920495
Sarkana,756048,21.307246,86.469324
Sarsankha,756045,21.520134,86.898115
Sarsatia,756043,21.520134,86.898115
Sartha,756027,21.57239,87.099879
Sarugaon,756049,21.29965,86.501057
Sathilabalbalia,756020,21.53142,86.79886
Saud,756042,21.298069,86.754208
Saudi,756024,21.520134,86.898115
Saundia,756047,21.276732,86.577925
Sergarh,756060,21.43498,86.84205
Shyamsundarpur,756040,21.43727,86.76137
Siadimal,756040,21.33827,86.45353
Sikharpur,756086,21.807875,87.198363
Simulia,756045,21.450893,86.876391
Simulia,756126,21.450893,86.876391
SimuliaBazar,756126,21.185163,86.606663
Sindhia,756003,21.517633,86.951144
SingaKhunta,756045,21.374632,86.650171
Singiri,756020,21.58298,86.783109
Singla,756023,21.679005,87.19525
Sirapur,756055,21.25662,86.67051
Soharia,756036,21.67142,87.44328
Solpata,756027,21.56161,87.0595
Somnathpur,756019,21.520134,86.898115
Soro,756045,21.287918,86.691322
SoroBazar,756045,21.276905,86.688843
SoroCollege,756045,21.283387,86.674935
Sovarampur,756001,21.49581,86.91347
Srijang,756044,21.35276,86.865056
Srikanthapur,756001,21.498962,86.931985
Srikona,756025,21.476976,87.008693
Srimantapur,756166,21.129197,86.62397
Srirampur,756029,21.478246,86.975267
Srirampur,756049,21.478246,86.975267
SrirampurRoad,756023,21.614979,87.083884
Sugo,756084,21.802018,87.294157
Sukhsandhapatna,756036,21.520134,86.898115
Sultanpur,756036,21.67254,87.393476
Sundarpur,756059,21.300834,86.433658
Sunhat,756002,21.479,86.94528
Tadada,756081,21.520134,86.898115
Talakurunia,756044,21.29706,86.803
Tarapur,756036,21.69075,87.38194
Telipal,756041,21.47861,86.6947
Tenda,756041,21.477351,86.710197
Tentei,756046,21.214316,86.734093
Tentulia,756058,21.20855,86.72053
Thalasada,756042,21.304313,86.769289
Tikirapal,756020,21.37814,86.8887
Tukurihazira,756037,21.608123,87.395632
Turigaria,756047,21.303226,86.599995
Udambar,756019,21.561383,86.901045
Udayganjapatna,756039,21.653915,87.440223
Uitikiri,756029,21.622004,87.084277
UplaHat,756035,21.753523,87.441427
Uppardiha,756058,21.520134,86.898115
Uttareswar,756045,21.29127,86.689157
Vellora,756030,21.748582,87.157107
Wada,756045,21.329713,86.659219
